agent,seed,temperature,sigma,prevalence,morisita,recall,det_per_joule,precision,false_alarms,time_to_first_detection,coverage,episode_ece,kind
REINFORCE,3,1.0,1.0,0.034722222222222224,4.8,0.0,0.0,0.0,1.45,184.0,0.04861111111111112,0.05830867995696889,clu
REINFORCE,0,1.0,1.6,0.0763888888888889,4.072727272727272,0.2954545454545454,0.017213210144717963,0.8016666666666665,0.75,12.55,0.06388888888888888,0.05973097074062245,clu
REINFORCE,1,1.0,1.6,0.2361111111111111,1.7397504456327986,0.31617647058823534,0.056976143275847546,0.7947855434039643,2.75,0.55,0.19618055555555555,0.07214877235402092,clu
REINFORCE,3,1.0,1.6,0.2152777777777778,1.3419354838709678,0.27258064516129027,0.044732440501677934,0.6466312853812852,4.45,1.5,0.28125,0.07645413037122215,clu
REINFORCE,2,1.0,1.6,0.1597222222222222,1.3280632411067195,0.23043478260869565,0.028033755882400296,0.4977346428081722,4.7,34.2,0.26736111111111105,0.062488642199623814,clu
Lawnmower,0,1.0,2.5,0.06944444444444445,1.4222222222222223,0.555,0.02939618644067803,0.43718981139259777,7.45,41.05,0.7847222222222221,0.07168981584780264,clu
Lawnmower,1,1.0,2.5,0.20833333333333334,1.2873563218390804,0.48,0.07627118644067814,0.685780725649517,6.65,3.9,0.7847222222222221,0.07535495210689067,clu
Lawnmower,2,1.0,2.5,0.1388888888888889,1.5157894736842106,0.47750000000000004,0.05058262711864418,0.6272311142963316,6.0,1.3,0.7847222222222221,0.07302765883096968,clu
Lawnmower,3,1.0,2.5,0.2013888888888889,1.2610837438423645,0.5344827586206897,0.08209745762711883,0.7369872711110477,5.85,0.65,0.7847222222222221,0.07766077744001845,clu
Lawnmower,4,1.0,2.5,0.1597222222222222,1.1383399209486167,0.4782608695652174,0.058262711864406916,0.6005910810204288,7.5,7.8,0.7847222222222221,0.06925003732829245,clu
GreedyEntropy,0,1.0,2.5,0.06944444444444445,1.4222222222222223,0.265,0.014016680181460206,0.15117376581966363,13.75,53.55,0.4024305555555555,0.0696926775436473,clu
GreedyEntropy,1,1.0,2.5,0.20833333333333334,1.2873563218390804,0.4083333333333333,0.06480447613280178,0.4951020372679082,12.2,5.05,0.3986111111111111,0.07507088976177467,clu
GreedyEntropy,2,1.0,2.5,0.1388888888888889,1.5157894736842106,0.37750000000000006,0.03994706003009302,0.3819453184115656,12.35,9.4,0.39583333333333337,0.07716116276503059,clu
GreedyEntropy,3,1.0,2.5,0.2013888888888889,1.2610837438423645,0.37241379310344824,0.05717773405854715,0.4371412084821696,13.65,0.6,0.38993055555555556,0.07148437096999385,clu
GreedyEntropy,4,1.0,2.5,0.1597222222222222,1.1383399209486167,0.4717391304347826,0.05742780844643515,0.46657373946504377,12.5,1.3,0.39479166666666665,0.0707627641725784,clu
REINFORCE,4,1.0,1.6,0.1527777777777778,2.0086580086580086,0.20000000000000004,0.023302045938967047,0.4407774007038713,5.9,1.45,0.1684027777777778,0.07473437852039735,clu
REINFORCE,1,1.0,2.5,0.20833333333333334,1.2873563218390804,0.2733333333333333,0.04352514353052473,0.7890243090243091,2.25,2.45,0.12395833333333335,0.07451010731331617,clu
REINFORCE,0,1.0,2.5,0.06944444444444445,1.4222222222222223,0.25,0.013240700756894217,0.5958333333333332,1.85,35.1,0.06840277777777778,0.06048077900099259,clu
REINFORCE,2,1.0,2.5,0.1388888888888889,1.5157894736842106,0.31250000000000006,0.03306307414426958,0.556889148862833,5.15,1.7,0.2704861111111111,0.07579716299730073,clu
REINFORCE,3,1.0,2.5,0.2013888888888889,1.2610837438423645,0.24137931034482754,0.037052800328302646,0.7494913419913419,2.4,0.85,0.20034722222222223,0.06443967595888353,clu
Lawnmower,0,1.0,4.0,0.041666666666666664,1.0666666666666667,0.4833333333333333,0.015360169491525457,0.2784371184371184,7.7,19.55,0.7847222222222221,0.06895406951564814,clu
Lawnmower,1,1.0,4.0,0.2013888888888889,1.1428571428571428,0.4137931034482759,0.06355932203389844,0.6537770170650605,6.4,4.9,0.7847222222222221,0.07271970243901384,clu
Lawnmower,2,1.0,4.0,0.13194444444444445,1.2163742690058479,0.55,0.055349576271186564,0.6577899633046691,5.7,0.2,0.7847222222222221,0.0745632363062437,clu
Lawnmower,3,1.0,4.0,0.14583333333333334,0.7619047619047619,0.4238095238095238,0.04713983050847468,0.5891601112595695,6.65,2.4,0.7847222222222221,0.07809017746000395,clu
Lawnmower,4,1.0,4.0,0.13194444444444445,0.935672514619883,0.47894736842105257,0.04819915254237299,0.5495132415314303,7.7,8.25,0.7847222222222221,0.06812298272980762,clu
GreedyEntropy,0,1.0,4.0,0.041666666666666664,1.0666666666666667,0.37500000000000006,0.011895288364330686,0.14250709945369391,13.55,31.45,0.3927083333333333,0.0680185442025671,clu
GreedyEntropy,1,1.0,4.0,0.2013888888888889,1.1428571428571428,0.4344827586206896,0.06666310639924092,0.5120622324988252,11.6,1.3,0.3923611111111111,0.07632967410163574,clu
GreedyEntropy,2,1.0,4.0,0.13194444444444445,1.2163742690058479,0.42894736842105263,0.04310349713085961,0.4103955761973328,11.5,1.05,0.38368055555555547,0.08243157809348042,clu
GreedyEntropy,3,1.0,4.0,0.14583333333333334,0.7619047619047619,0.39761904761904765,0.0441730394639542,0.38089566696187593,13.7,13.65,0.3822916666666666,0.07710899724990458,clu
