agent,seed,temperature,sigma,prevalence,morisita,recall,det_per_joule,precision,false_alarms,time_to_first_detection,coverage,episode_ece,kind
Random,3,4.0,1.6,0.2152777777777778,1.3419354838709678,0.264516129032258,0.04338949666275738,0.33525995567700373,16.2,15.55,0.34097222222222223,0.2014508833690282,cal
Random,4,4.0,1.6,0.1527777777777778,2.0086580086580086,0.2772727272727272,0.03229326144458939,0.2694472527853535,16.65,15.8,0.35798611111111117,0.20466680718752855,cal
Lawnmower,0,4.0,1.6,0.0763888888888889,4.072727272727272,0.06818181818181818,0.0039724576271186526,0.2516666666666666,2.25,93.4,0.7847222222222221,0.2033723879421671,cal
Lawnmower,1,4.0,1.6,0.2361111111111111,1.7397504456327986,0.044117647058823525,0.007944915254237305,0.37583333333333335,2.25,39.35,0.7847222222222221,0.2091172593161354,cal
Lawnmower,2,4.0,1.6,0.1597222222222222,1.3280632411067195,0.034782608695652174,0.00423728813559323,0.22583333333333333,2.3,91.35,0.7847222222222221,0.2163269562944313,cal
Lawnmower,3,4.0,1.6,0.2152777777777778,1.3419354838709678,0.1096774193548387,0.018008474576271225,0.6737301587301587,1.9,30.5,0.7847222222222221,0.20223974422736507,cal
Lawnmower,4,4.0,1.6,0.1527777777777778,2.0086580086580086,0.045454545454545456,0.005296610169491537,0.31833333333333336,1.95,54.15,0.7847222222222221,0.20869579915054787,cal
GreedyEntropy,0,4.0,1.6,0.0763888888888889,4.072727272727272,0.20909090909090908,0.0121636345668545,0.061473601329185404,35.4,73.25,0.27048611111111115,0.20656333838008809,cal
GreedyEntropy,1,4.0,1.6,0.2361111111111111,1.7397504456327986,0.3323529411764706,0.05978505832793224,0.27627433495921716,29.1,1.8,0.2881944444444445,0.20346788455818943,cal
GreedyEntropy,2,4.0,1.6,0.1597222222222222,1.3280632411067195,0.3195652173913044,0.03886972661931334,0.18424033438314566,32.2,16.55,0.28229166666666666,0.2173926742528504,cal
GreedyEntropy,3,4.0,1.6,0.2152777777777778,1.3419354838709678,0.26774193548387093,0.04386933613696289,0.20386920015901713,31.85,1.7,0.2871527777777778,0.20840353772063241,cal
GreedyEntropy,4,4.0,1.6,0.1527777777777778,2.0086580086580086,0.3886363636363636,0.045220687481193914,0.2099475129312876,31.25,10.3,0.2833333333333333,0.206542105768195,cal
REINFORCE,1,4.0,1.6,0.2361111111111111,1.7397504456327986,0.17352941176470585,0.03124618466848514,0.6531547619047618,3.1,8.6,0.103125,0.2192646220666883,cal
REINFORCE,0,4.0,1.6,0.0763888888888889,4.072727272727272,0.5954545454545453,0.03466520744159628,0.5142047364400305,6.85,9.75,0.15104166666666669,0.21296785250744796,cal
REINFORCE,2,4.0,1.6,0.1597222222222222,1.3280632411067195,0.10869565217391304,0.013248288869008213,0.5872619047619047,1.85,8.75,0.054513888888888896,0.2097175893630902,cal
REINFORCE,4,4.0,1.6,0.1527777777777778,2.0086580086580086,0.1727272727272727,0.020074382738557106,0.4442460317460317,4.55,8.65,0.08437499999999999,0.2083000024936509,cal
REINFORCE,3,4.0,1.6,0.2152777777777778,1.3419354838709678,0.03387096774193547,0.005563129289072209,0.8333333333333333,0.3,18.1,0.0642361111111111,0.20686578867422312,cal
